source_dataset	dataset	species	section_id	technology	validation_strategy	n_cells_or_bins	n_groups	n_lr_pairs_in_table	random_seed	n_permutations	validation_score_method	expression_potential_stat	expression_potential_power	kernel	score_type	null_model	k	top_k	n_pairs	observed_mean	observed_score	null_mean	null_sd	top_k_enrichment_z	top_k_empirical_pvalue	enrichment_z	empirical_p
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	pooled	1000	1000	1000	8.252305162732752e-06	8.252305162732752e-06	8.257748604106568e-06	1.6003704360084569e-06	-0.0034013633664671	0.3511622094476381	-0.0034013633664671	0.3511622094476381
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	coordinate_permutation	1000	1000	1000	8.252305162732752e-06	8.252305162732752e-06	8.279413274099441e-06	6.826269692082318e-08	-0.3971145675379884	0.6073926073926074	-0.3971145675379884	0.6073926073926074
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	celltype_permutation	1000	1000	1000	8.252305162732752e-06	8.252305162732752e-06	9.73244944958817e-06	2.583018655093769e-06	-0.5730288799643557	0.6873126873126874	-0.5730288799643557	0.6873126873126874
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	matched_random_lr	1000	1000	1000	8.252305162732752e-06	8.252305162732752e-06	7.665469441186497e-06	4.7477740393867166e-07	1.2360228534002806	0.1108891108891109	1.2360228534002806	0.1108891108891109
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	score_permutation	1000	1000	1000	8.252305162732752e-06	8.252305162732752e-06	7.353662251552159e-06	6.040876839930139e-08	14.876034307479523	0.0009990009990009	14.876034307479523	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	pooled	5000	5000	4021	8.130749128934057e-06	8.130749128934057e-06	8.40077503324573e-06	1.5553784895734593e-06	-0.1736078427995522	0.5771057235691077	-0.1736078427995522	0.5771057235691077
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	coordinate_permutation	5000	5000	4021	8.130749128934057e-06	8.130749128934057e-06	8.155260811390948e-06	6.677549383980965e-08	-0.3670760191709473	0.5854145854145855	-0.3670760191709473	0.5854145854145855
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	celltype_permutation	5000	5000	4021	8.130749128934057e-06	8.130749128934057e-06	9.798145658006256e-06	2.5802023839323213e-06	-0.6462270322109489	0.7252747252747253	-0.6462270322109489	0.7252747252747253
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	matched_random_lr	5000	5000	4021	8.130749128934057e-06	8.130749128934057e-06	7.43812992857157e-06	2.0708902912274506e-07	3.34454801056583	0.0019980019980019	3.34454801056583	0.0019980019980019
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			contact	model_weighted_spatial_ccc_score	score_permutation	5000	5000	4021	8.130749128934057e-06	8.130749128934057e-06	8.211563735014141e-06	2.9964721019479645e-08	-2.6969917733439925	0.997002997002997	-2.6969917733439925	0.997002997002997
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	pooled	100	100	100	1.4308983246819212e-05	1.4308983246819212e-05	1.5299857874640497e-05	3.3895031988928675e-06	-0.2923362421209514	0.5773556610847288	-0.2923362421209514	0.5773556610847288
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	coordinate_permutation	100	100	100	1.4308983246819212e-05	1.4308983246819212e-05	1.3925620863144538e-05	1.0506390874370422e-07	3.6488494313481055	0.0079920079920079	3.6488494313481055	0.0079920079920079
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	celltype_permutation	100	100	100	1.4308983246819212e-05	1.4308983246819212e-05	1.5554460528247634e-05	4.20445131549812e-06	-0.2962282561906332	0.5384615384615384	-0.2962282561906332	0.5384615384615384
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	matched_random_lr	100	100	100	1.4308983246819212e-05	1.4308983246819212e-05	1.7410366860350605e-05	4.57210583201948e-06	-0.6783271707780054	0.7642357642357642	-0.6783271707780054	0.7642357642357642
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	score_permutation	100	100	100	1.4308983246819212e-05	1.4308983246819212e-05	1.4308983246819212e-05	0.0	0.0	1.0	0.0	1.0
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	pooled	500	500	500	1.7071469071129137e-05	1.7071469071129137e-05	1.7423600725371254e-05	2.990824380993763e-06	-0.1177373223516099	0.485378655336166	-0.1177373223516099	0.485378655336166
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	coordinate_permutation	500	500	500	1.7071469071129137e-05	1.7071469071129137e-05	1.659187712265801e-05	1.1915861782454261e-07	4.024819666650636	0.0029970029970029	4.024819666650636	0.0029970029970029
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	celltype_permutation	500	500	500	1.7071469071129137e-05	1.7071469071129137e-05	1.976194490261573e-05	5.071528478008697e-06	-0.5305059102306359	0.6633366633366633	-0.5305059102306359	0.6633366633366633
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	matched_random_lr	500	500	500	1.7071469071129137e-05	1.7071469071129137e-05	1.626911180508213e-05	1.5647047296762782e-06	0.5127850966571869	0.2767232767232767	0.5127850966571869	0.2767232767232767
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	score_permutation	500	500	500	1.7071469071129137e-05	1.7071469071129137e-05	1.707146907112914e-05	3.3898271265208486e-21	-0.999499874937461	1.0	-0.999499874937461	1.0
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	pooled	1000	1000	1000	1.5913804873115962e-05	1.5913804873115962e-05	1.603741720513322e-05	2.65651117133686e-06	-0.0465318321831299	0.4313921519620095	-0.0465318321831299	0.4313921519620095
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	coordinate_permutation	1000	1000	1000	1.5913804873115962e-05	1.5913804873115962e-05	1.5454716009246757e-05	1.099780486736822e-07	4.174368152606307	0.0029970029970029	4.174368152606307	0.0029970029970029
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	embedding_cosine	11698	17	5000	0	1000	embedding_cosine			exp	spatial_ccc_score	celltype_permutation	1000	1000	1000	1.5913804873115962e-05	1.5913804873115962e-05	1.8041870620779197e-05	4.6237834729657885e-06	-0.4602433829580361	0.6263736263736264	-0.4602433829580361	0.6263736263736264
