source	target	ligand	receptor	pathway	prob_a	pvalue_a	ligand_expr_a	receptor_expr_a	prob_b	pvalue_b	ligand_expr_b	receptor_expr_b	delta_prob	abs_delta_prob	log2fc	percent_change	is_new	is_lost	direction
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	PPIA	BSG	CypA	4.144529888277289e-06		0.0043186180422264	0.0004798464491362	1.0917864902339697e-05		0.0070093457943925	0.0007788161993769	-6.773335014062408e-06	6.773335014062408e-06	-1.397194458900988	-0.6203332557591235	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	4.144529888277289e-06		0.0043186180422264	0.0004798464491362	1.0917864902339697e-05		0.0070093457943925	0.0007788161993769	-6.773335014062408e-06	6.773335014062408e-06	-1.397194458900988	-0.6203332557591235	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	PPIA	BSG	CypA	4.144529888277289e-06		0.0043186180422264	0.0004798464491362	1.0917864902339697e-05		0.0070093457943925	0.0007788161993769	-6.773335014062408e-06	6.773335014062408e-06	-1.397194458900988	-0.6203332557591235	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	effector memory CD4-positive, alpha-beta T cell	PPIA	BSG	CypA	4.144529888277289e-06		0.0043186180422264	0.0004798464491362	1.0917864902339697e-05		0.0070093457943925	0.0007788161993769	-6.773335014062408e-06	6.773335014062408e-06	-1.397194458900988	-0.6203332557591235	False	False	normal
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	RETN	CAP1	RESISTIN	4.144529888277289e-06		0.0004798464491362	0.0043186180422264	1.0917864902339697e-05		0.0007788161993769	0.0070093457943925	-6.773335014062408e-06	6.773335014062408e-06	-1.397194458900988	-0.6203332557591235	False	False	normal
CD14-positive, CD16-negative classical monocyte	naive thymus-derived CD4-positive, alpha-beta T cell	LGALS9	CD44	GALECTIN	4.14452988827729e-06		0.0014395393474088	0.0014395393474088	1.0917864902339697e-05		0.0023364485981308	0.0023364485981308	-6.773335014062407e-06	6.773335014062407e-06	-1.397194458900988	-0.6203332557591233	False	False	normal
effector memory CD4-positive, alpha-beta T cell	effector memory CD8-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	3.68402826386484e-06		0.0019193857965451	0.0009596928982725	9.7047805749112e-06		0.0031152647975077	0.0015576323987538	-6.020752311046362e-06	6.020752311046362e-06	-1.3971685597811994	-0.620326439957813	False	False	normal
effector memory CD4-positive, alpha-beta T cell	central memory CD4-positive, alpha-beta T cell	MIF	CD74_CD44	MIF	3.68402826386484e-06		0.0019193857965451	0.0009596928982725	9.7047805749112e-06		0.0031152647975077	0.0015576323987538	-6.020752311046362e-06	6.020752311046362e-06	-1.3971685597811994	-0.620326439957813	False	False	normal
effector memory CD8-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	MIF	CD74_CXCR4	MIF	3.446093711591055e-06		0.0004798464491362	0.0035908420218559	8.996578748607305e-06		0.0007788161993769	0.0057758555195449	-5.55048503701625e-06	5.55048503701625e-06	-1.3841563040746616	-0.6168865193733797	False	False	normal
naive thymus-derived CD4-positive, alpha-beta T cell	CD14-positive, CD16-negative classical monocyte	MIF	CD74_CXCR4	MIF	3.446093711591055e-06		0.0004798464491362	0.0035908420218559	8.996578748607305e-06		0.0007788161993769	0.0057758555195449	-5.55048503701625e-06	5.55048503701625e-06	-1.3841563040746616	-0.6168865193733797	False	False	normal
CD14-positive, CD16-negative classical monocyte	CD14-positive, CD16-negative classical monocyte	MIF	CD74_CXCR4	MIF	3.446093711591055e-06		0.0004798464491362	0.0035908420218559	8.996578748607305e-06		0.0007788161993769	0.0057758555195449	-5.55048503701625e-06	5.55048503701625e-06	-1.3841563040746616	-0.6168865193733797	False	False	normal
