source_dataset	dataset	species	section_id	technology	validation_strategy	n_cells_or_bins	n_groups	n_lr_pairs_in_table	random_seed	n_permutations	validation_score_method	expression_potential_stat	expression_potential_power	kernel	score_type	null_model	k	top_k	n_pairs	observed_mean	observed_score	null_mean	null_sd	top_k_enrichment_z	top_k_empirical_pvalue	enrichment_z	empirical_p
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	matched_random_lr	1000	1000	1000	4.326739332848721e-05	4.326739332848721e-05	3.6130237161169366e-05	1.2909915794202413e-06	5.528429682339987	0.0009990009990009	5.528429682339987	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	score_permutation	1000	1000	1000	4.326739332848721e-05	4.326739332848721e-05	3.3399696871084306e-05	3.6008300541587097e-07	27.403949392186384	0.0009990009990009	27.403949392186384	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	coordinate_permutation	5000	5000	4021	1.313819549708354e-05	1.313819549708354e-05	1.3175758873857509e-05	1.0835023621701526e-07	-0.3466847704764797	0.5744255744255744	-0.3466847704764797	0.5744255744255744
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	celltype_permutation	5000	5000	4021	1.313819549708354e-05	1.313819549708354e-05	1.593289571721721e-05	4.198933484629803e-06	-0.6655738249638087	0.7312687312687313	-0.6655738249638087	0.7312687312687313
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	matched_random_lr	5000	5000	4021	1.313819549708354e-05	1.313819549708354e-05	1.1705430928606098e-05	3.280741851464022e-07	4.367196912607048	0.0009990009990009	4.367196912607048	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	contact	model_weighted_spatial_ccc_score	score_permutation	5000	5000	4021	1.313819549708354e-05	1.313819549708354e-05	1.0580492024803193e-05	8.864468113929059e-08	28.853434175721564	0.0009990009990009	28.853434175721564	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	coordinate_permutation	100	100	100	0.0001319429793913	0.0001319429793913	0.0001275933935882	9.274303422418984e-07	4.689932607299196	0.0009990009990009	4.689932607299196	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	celltype_permutation	100	100	100	0.0001319429793913	0.0001319429793913	0.0001588184795832	4.158906556612144e-05	-0.6462155334835742	0.7242757242757243	-0.6462155334835742	0.7242757242757243
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	matched_random_lr	100	100	100	0.0001319429793913	0.0001319429793913	6.981369247753402e-05	6.974337082743732e-06	8.9082713061813	0.0009990009990009	8.9082713061813	0.0009990009990009
artista_axolotl	artista_axolotl	Ambystoma mexicanum	Control_Juv	Stereo-seq cellbin	dbfree	11698	17	5000	0	1000	model_x_expression_potential	mean	0.5	exp	spatial_ccc_score	score_permutation	100	100	100	0.0001319429793913	0.0001319429793913	0.0001319429793913	2.7118617012166795e-20	-0.999499874937461	1.0	-0.999499874937461	1.0
